연번,음식이름정보,에너지(칼로리)정보,단백질,칼슘,비타민(A),비타민(B1),비타민(B2),그외 영양소 1,그외 영양소 2,그외 영양소 3
401,도가니탕,317.83,4.26,14.78,0.12,0.2,4.75,3.23,13.62,0.03
402,돈육개장,191.25,1.56,105.01,0.43,0.21,4.51,11.08,50.05,1.01
403,두부탕,73.91,0.77,3.35,0.05,0.05,1.04,4.09,12.98,0.62
404,보신탕,209.63,2.21,206.26,0.13,0.2,2.05,18.45,74.11,0.98
405,삼계탕,900.05,10.17,254.72,0.53,0.73,32.96,13.15,28.6,0.13
406,선지곱창국,114.01,2.6,60.37,0.24,0.23,7.95,13.04,33.21,0.91
407,선지국,88.69,2.23,138.66,0.22,0.23,8.9,19.29,37.56,0.2
408,설렁탕,178.73,2.36,17.69,0.1,0.19,3.57,7.02,11.81,0.03
409,쇠고기두부탕,97.89,1.1,14.88,0.06,0.09,2.04,7.83,12,0.44
410,쇠고기탕국,95.49,2.14,12.98,0.07,0.11,2.55,5.03,11.33,0.44
411,순대국,152.43,1.92,59.08,0.15,0.18,4.61,7.51,24.86,0.89
412,오리탕,227.45,1.91,18.37,0.36,0.41,4.77,7.9,25.3,0.93
413,육개장,247.12,2,347.36,0.17,0.32,4.56,27.27,50.03,1.51
414,조개탕,59.97,1.28,18.92,0.07,0.13,0.95,3.08,29.14,1.48
415,짬뽕국,173.8,1.26,344.72,0.21,0.18,3.26,13.43,36.91,6.91
416,추어탕,122.51,1.65,284.06,0.12,0.57,2.98,20.27,89.66,2.23
417,해물탕,110.39,1.28,151.22,0.08,0.17,2.77,8.83,28.94,2.5
418,가지냉국,27.18,0.36,61.82,0.04,0.04,0.64,4.72,15.82,0.12
419,미역냉국,46.82,0.37,75.82,0.04,0.08,0.8,5.86,48.76,0.46
